Sigla_Distribuidora,Estado,Grupo_Distribuidora,Grupo_Empresarial,Resumo temas,VlrPenalidade,NumAutoInfracao,Flag_Distribuidora,VlrMercado,DscTipoPenalidade,AnoLavratura,VlrMultaAposJuizo
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,31015.0,0057/2021-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,44182.08,0057/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,299455.07,0057/2024-SFT,Não Distribuidora,, Multa,2024,0.0
Equatorial MA,MA,Equatorial,Equatorial,Comercial,28519742.3,0057/2025-SFT,Distribuidora,2851859, Advertência / Multa,2025,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,23564.98,0058/2021-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,44182.08,0058/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,400035.39,0058/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,32110.8,0058/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,17122.12,0059/2021-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,44182.08,0059/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,349745.23,0059/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,32110.8,0059/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,45534.27,0060/2021-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.02 - Procedimento Desempenho UTE Tipo I e II A,1269230.77,0060/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,205732.49,0060/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,32110.8,0060/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,38048.34,0061/2021-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.01.03 - Procedimento RAPEEL,55000.0,0061/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,290311.39,0061/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,32110.8,0061/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,38950.52,0062/2021-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,39117.68,0062/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,333743.81,0062/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,32110.8,0062/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,8827.16,0063/2021-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,92086.38,0063/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,393177.64,0063/2024-SFT,Não Distribuidora,, Multa,2024,0.0
Neoenergia Coelba,BA,NeoEnergia,NeoEnergia,Comercial,0.0,0063/2025-SFT,Distribuidora,6879715, Advertência,2025,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,44037.38,0064/2021-SFG,Não Distribuidora,, Multa,2021,36697.82
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,83106.05,0064/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,354317.06,0064/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,Operação e Manutenção,2476381.63,0064/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,51064.57,0065/2021-SFG,Não Distribuidora,, Multa,2021,42553.81
Enel CE,CE,Enel,Não mapeado,1.02.03 - Procedimento Desempenho de PCHs e UHEs não despachadas,140335.74,0065/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,347459.31,0065/2024-SFT,Não Distribuidora,, Multa,2024,0.0
CEA Equatorial,AP,Equatorial,Equatorial,Comercial,2487131.86,0065/2025-SFT,Distribuidora,280123, Multa,2025,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,44968.92,0066/2021-SFG,Não Distribuidora,, Multa,2021,37474.1
,,,Não mapeado,1.02.03 - Procedimento Desempenho de PCHs e UHEs não despachadas,19189.41,0066/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,358888.89,0066/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,6539.26,0066/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,63317.76,0067/2021-SFG,Não Distribuidora,, Multa,2021,52764.8
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,119127.98,0067/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,425180.47,0067/2024-SFT,Não Distribuidora,, Multa,2024,0.0
Cemig-D,MG,CEMIG,CEMIG,Comercial,53729331.89,0067/2025-SFT,Distribuidora,9574720, Advertência / Multa,2025,0.0
Cemig-D,MG,CEMIG,CEMIG,Comercial,53729331.89,0067/2025-SFT,Distribuidora,9574720, Advertência / Multa,2025,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,60260.91,0068/2021-SFG,Não Distribuidora,, Multa,2021,50217.43
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,154899.16,0068/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,343682.58,0068/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.02 - Procedimento Desempenho UTE Tipo I e II A,1353474.53,0068/2025-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,55493.46,0069/2021-SFG,Não Distribuidora,, Multa,2021,46244.55
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,93673.29,0069/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,347459.31,0069/2024-SFT,Não Distribuidora,, Multa,2024,0.0
Light,RJ,Light,Light,Qualidade,,0069/2025-SFT,Distribuidora,3981775,,2025,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,65504.11,0070/2021-SFG,Não Distribuidora,, Multa,2021,54586.76
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,79369.56,0070/2022-SFG,Não Distribuidora,, Multa,2022,79369.56
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,609842.77,0070/2024-SFT,Não Distribuidora,, Multa,2024,0.0
Cemig-D,MG,CEMIG,CEMIG,Qualidade,,0070/2025-SFT,Distribuidora,9574720,,2025,0.0
Cemig-D,MG,CEMIG,CEMIG,Qualidade,,0070/2025-SFT,Distribuidora,9574720,,2025,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,39459.97,0071/2021-SFG,Não Distribuidora,, Multa,2021,32883.31
,,,Não mapeado,1.02.10 - Procedimento Sistemas Isolados,1033069.91,0071/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,297169.15,0071/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,42941.43,0072/2021-SFG,Não Distribuidora,, Multa,2021,34342.16
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,23636.51,0072/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,537488.55,0072/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,45974.18,0073/2021-SFG,Não Distribuidora,, Multa,2021,36779.34
,,,Não mapeado,1.02.03 - Procedimento Desempenho de PCHs e UHEs não despachadas,91967.5,0073/2022-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,267452.23,0073/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,43204.65,0074/2021-SFG,Não Distribuidora,, Multa,2021,34563.72
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,534904.47,0074/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,32403.49,0075/2021-SFG,Não Distribuidora,, Multa,2021,25922.79
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,347459.31,0075/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,38773.4,0076/2021-SFG,Não Distribuidora,, Multa,2021,31018.72
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,521984.07,0076/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,50405.42,0077/2021-SFG,Não Distribuidora,, Multa,2021,40324.34
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,354317.06,0077/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,49297.61,0078/2021-SFG,Não Distribuidora,, Multa,2021,39438.09
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,498727.35,0078/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,885176.06,0079/2021-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,483222.88,0079/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,874939.16,0080/2021-SFG,Não Distribuidora,, Multa,2021,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,322314.23,0080/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,478054.72,0081/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,354317.06,0082/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,454798.0,0083/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,281664.67,0084/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,545240.79,0085/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,555577.1,0086/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,547824.86,0087/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,235151.25,0088/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,258308.57,0089/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,260594.48,0090/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,299455.07,0091/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,1021804.68,0092/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,966942.69,0093/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,834359.53,0094/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,685774.96,0095/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,454897.39,0096/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,316828.04,0097/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,270650.03,0098/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,270650.03,0099/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,270650.03,0100/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,270650.03,0101/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,231985.75,0102/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,360237.58,0103/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,360237.58,0104/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,248071.64,0105/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,253239.8,0106/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,173133.32,0107/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,343682.58,0108/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,191221.88,0109/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,191221.88,0110/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,191221.88,0111/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,191221.88,0112/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,206726.36,0113/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,237735.31,0114/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,155044.77,0115/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,237735.31,0116/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,237735.31,0117/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,155044.77,0118/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,191221.88,0119/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,418620.89,0120/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,441877.61,0121/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,431541.29,0122/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,416036.81,0123/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,459966.16,0124/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,436709.44,0125/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,323009.95,0126/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,403116.41,0127/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,586586.06,0128/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,529736.31,0129/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,534904.47,0130/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,359187.06,0131/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,408284.57,0132/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,511647.75,0133/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,571081.58,0134/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,633099.49,0135/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,379859.68,0136/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,259222.94,0137/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,316828.04,0138/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,522766.25,0139/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,522766.25,0139/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,499004.15,0140/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,166334.71,0141/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,570290.45,0142/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.12 - Procedimento Perturbações Sistêmicas,366939.3,0143/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.12 - Procedimento Perturbações Sistêmicas,366939.3,0144/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,230241.5,0145/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,230241.5,0146/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,230241.5,0147/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,230241.5,0148/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,230241.5,0149/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,230241.5,0150/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,230241.5,0151/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,260475.21,0152/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,195356.4,0153/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,260475.21,0154/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,130237.62,0155/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,423272.22,0156/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,325594.02,0157/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,162797.01,0158/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,230241.5,0159/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,230241.5,0160/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,227915.82,0161/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,230241.5,0162/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,260475.21,0163/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,293034.63,0164/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,230241.5,0165/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,260475.21,0166/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,144191.65,0167/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,288383.27,0168/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,480638.79,0169/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,336447.17,0170/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,240319.4,0171/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,192255.52,0172/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,336447.17,0173/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,288383.27,0174/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,193805.97,0175/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,193805.97,0176/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,155044.77,0177/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,135664.18,0178/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,155044.77,0179/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,135664.18,0180/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,155044.77,0181/2024-SFT,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,116283.59,0182/2024-SFT,Não Distribuidora,, Multa,2024,0.0
