Sigla_Distribuidora,Estado,Grupo_Distribuidora,Grupo_Empresarial,Resumo temas,VlrPenalidade,NumAutoInfracao,Flag_Distribuidora,VlrMercado,DscTipoPenalidade,AnoLavratura,VlrMultaAposJuizo
Neoenergia Pernambuco,PE,NeoEnergia,NeoEnergia,Comercial,22955875.62,0001/2024-ARPE-SFT,Distribuidora,4171038, Advertência / Multa,2024,0.0
Equatorial AL,AL,Equatorial,Equatorial,Técnica,9893893.77,0001/2024-ARSAL-SFT,Distribuidora,1415379, Multa,2024,0.0
,,,Não mapeado,"Apoio ao Processo Decisório, Anuência e Conformidade Regulatória",34569.23,0001/2024-SFF,Não Distribuidora,, Multa,2024,0.0
,,,Não mapeado,Ocorrências/Perturbações,20616830.44,0001/2024-SFT,Não Distribuidora,, Multa,2024,0.0
Energisa MS,MS,Energisa,Energisa,Comercial,47990136.23,0001/2025-AGEMS-SFT,Distribuidora,1168540, Multa,2025,0.0
Energisa MT,MT,Energisa,Energisa,Comercial,,0001/2025-AGER/ MT-SFT,Distribuidora,1713620,,2025,0.0
CEEE Equatorial,RS,Equatorial,Equatorial,Qualidade,0.0,0001/2025-AGERGS-SFT,Distribuidora,1992072, Advertência,2025,0.0
Energisa SE,SE,Energisa,Energisa,Comercial,4816007.78,0001/2025-AGRESE-SFT,Distribuidora,910798, Advertência / Multa,2025,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,,0001/2025-AGR-SFT,Não Distribuidora,,,2025,0.0
Enel CE,CE,Enel,Enel,Comercial,28799803.47,0001/2025-ARCE-SFT,Distribuidora,4032024, Multa,2025,0.0
Equatorial AL,AL,Equatorial,Equatorial,Qualidade,,0001/2025-ARSAL-SFT,Distribuidora,1415379,,2025,0.0
,,,Não mapeado,1.02.14 - Procedimento Desempenho UTE Tipo III,65578.85,0001/2025-ARSESP-SFT,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,"Apoio ao Processo Decisório, Anuência e Conformidade Regulatória",414445.52,0001/2025-SFF,Não Distribuidora,, Multa,2025,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,286662.86,0001/2025-SFT,Não Distribuidora,, Multa,2025,0.0
CPFL Paulista,SP,CPFL,CPFL,Comercial,21806645.07,0001/2026-ARSESP-SFT,Distribuidora,5093267, Multa,2026,0.0
,,,Não mapeado,1.02.02 - Procedimento Desempenho UTE Tipo I e II A,0.0,0001/2026-SFT,Não Distribuidora,, Advertência,2026,0.0
Energisa MT,MT,Energisa,Energisa,Comercial,2255848.89,0002/2019-AGER/ MT-SFE,Distribuidora,1713620, Multa,2019,2255848.89
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,388253.88,0002/2019-AGER/ MT-SFG,Não Distribuidora,, Multa,2019,0.0
Demei,RS,DEMEI,DEMEI,Qualidade,114.8,0002/2019-AGERGS-SFE,Distribuidora,36231, Multa,2019,0.0
Equatorial GO,GO,Equatorial,Equatorial,Acesso ao Sistema de Distribuição,5553907.12,0002/2019-AGR-SFE,Distribuidora,3508696, Multa,2019,5553907.12
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,30356.55,0002/2019-AGR-SFG,Não Distribuidora,, Multa,2019,0.0
Enel CE,CE,Enel,Enel,Comercial,5181131.82,0002/2019-ARCE-SFE,Distribuidora,4032024, Multa,2019,0.0
Energisa Sul-Sudeste,SP,Energisa,Energisa,Qualidade,546585.17,0002/2019-ARSESP-SFE,Distribuidora,896215, Advertência / Multa,2019,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,48131.72,0002/2019-ARSESP-SFG,Não Distribuidora,, Multa,2019,0.0
,,,Não mapeado,Ocorrências/Perturbações,6183943.86,0002/2019-SFE,Não Distribuidora,, Multa,2019,6183943.86
,,,Não mapeado,1.02.03 - Procedimento Desempenho de PCHs e UHEs não despachadas,84002.02,0002/2019-SFG,Não Distribuidora,, Multa,2019,84002.02
Energisa MT,MT,Energisa,Energisa,Qualidade,2046363.56,0002/2020-AGER/ MT-SFE,Distribuidora,1713620, Advertência / Multa,2020,0.0
RGE,RS,CPFL,CPFL,Qualidade,40164063.38,0002/2020-AGERGS-SFE,Distribuidora,3179975, Multa,2020,36522521.63
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,31196.74,0002/2020-AGERGS-SFG,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,177785.06,0002/2020-AGR-SFG,Não Distribuidora,, Multa,2020,0.0
Enel CE,CE,Enel,Enel,Qualidade,26019274.99,0002/2020-ARCE-SFE,Distribuidora,4032024, Multa,2020,0.0
,,,Não mapeado,1.02.02 - Procedimento Desempenho UTE Tipo I e II A,1161677.14,0002/2020-ARCE-SFG,Não Distribuidora,, Multa,2020,838989.05
,,,Não mapeado,1.02.03 - Procedimento Desempenho de PCHs e UHEs não despachadas,21883.36,0002/2020-ARSESP-SFG,Não Distribuidora,, Multa,2020,0.0
Equatorial PA,PA,Equatorial,Equatorial,Técnica,2156657.2,0002/2020-SFE,Distribuidora,3266493, Multa,2020,0.0
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,0.0,0002/2020-SFF,Não Distribuidora,, Advertência,2020,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,5912.31,0002/2020-SFG,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,,0002/2021-AGEPAN-SFG,Não Distribuidora,,,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,0.0,0002/2021-AGERGS-SFG,Não Distribuidora,, Advertência,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,0.0,0002/2021-ARCE-SFG,Não Distribuidora,, Advertência,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,46321.1,0002/2021-ARPE-SFG,Não Distribuidora,, Multa,2021,46321.1
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,0.0,0002/2021-ARSEP-SFG,Não Distribuidora,, Advertência,2021,0.0
CPFL Paulista,SP,CPFL,CPFL,Técnica,9952480.13,0002/2021-ARSESP-SFE,Distribuidora,5093267, Multa,2021,0.0
,,,Não mapeado,Obras de Transmissão,1199192.05,0002/2021-SFE,Não Distribuidora,, Multa,2021,1199192.05
